[16:25:30.569] [T1] [DS=False] DEBUG | Log Started (v1.7.1)
[16:25:30.572] [T1] [DS=False] DEBUG | Defense Shields Mod found. API loaded successfully = True
[16:25:30.682] [T1] [DS=False] DEBUG | Faction cleanup: Removing 20/22 members from Space Pirates
[16:25:30.690] [T1] [DS=False] DEBUG | Faction cleanup: Removing 21/23 members from Сабироиды
[16:25:30.694] [T1] [DS=False] DEBUG | Faction cleanup: Removing 8/9 members from Raiders
[16:25:33.931] [T1] [DS=False] DEBUG | CommandMenu Registered Successfully = True
[16:28:19.277] [T1] [DS=False] DEBUG | Mod setup completed in 0H 2M 33.6S
[20:14:05.777] [T1] [DS=False] WARNING | Something attempted to spawn 'Female Astronaut 2' which is not included in the AllowedBotSubtypes. Spawn aborted.
[22:26:56.832] [T1] [DS=False] DEBUG | Path to target:
[22:26:56.833] [T1] [DS=False] DEBUG |  -> [X:-1, Y:0, Z:-1]
[22:26:56.833] [T1] [DS=False] DEBUG |  -> [X:-2, Y:0, Z:-2]
[22:26:56.833] [T1] [DS=False] DEBUG |  -> [X:-3, Y:0, Z:-3]
[22:26:56.833] [T1] [DS=False] DEBUG |  -> [X:-4, Y:0, Z:-4]
[22:26:56.833] [T1] [DS=False] DEBUG |  -> [X:-5, Y:0, Z:-5]
[22:26:56.833] [T1] [DS=False] DEBUG |  -> [X:-6, Y:0, Z:-6]
[22:26:56.833] [T1] [DS=False] DEBUG |  -> [X:-7, Y:0, Z:-7]
[22:26:56.833] [T1] [DS=False] DEBUG |  -> [X:-8, Y:1, Z:-7]
[22:26:56.833] [T1] [DS=False] DEBUG |  -> [X:-9, Y:2, Z:-7]
[22:26:56.833] [T1] [DS=False] DEBUG |  -> [X:-10, Y:3, Z:-7]
[22:26:56.833] [T1] [DS=False] DEBUG |  -> [X:-11, Y:4, Z:-7]
[22:26:56.833] [T1] [DS=False] DEBUG |  -> [X:-12, Y:5, Z:-7]
[22:26:56.833] [T1] [DS=False] DEBUG |  -> [X:-13, Y:5, Z:-7]
[22:26:56.833] [T1] [DS=False] DEBUG |  -> [X:-14, Y:5, Z:-7]
[22:26:56.833] [T1] [DS=False] DEBUG |  -> [X:-15, Y:5, Z:-7]
[22:26:56.833] [T1] [DS=False] DEBUG |  -> [X:-16, Y:5, Z:-7]
[22:26:56.833] [T1] [DS=False] DEBUG |  -> [X:-17, Y:5, Z:-7]
